# Tabulated Angle Potential File (Huang Model)


Angle1
N 200 EQ 180.00
189 170.0503 0.0588 0.0000
190 170.9548 0.0709 0.0000
191 171.8593 0.0832 0.0000
192 172.7638 0.0954 0.0000
193 173.6683 0.1070 0.0000
194 174.5729 0.1177 0.0000
195 175.4774 0.1273 0.0000
196 176.3819 0.1356 0.0000
197 177.2864 0.1422 0.0000
198 178.1910 0.1470 0.0000
199 179.0955 0.1500 0.0000
200 180.0000 0.1510 0.0000


Angle2
N 200 EQ 180.00

1 0.0000 1742339400.0579 3949750785.5610
2 0.9045 1491116073.8968 3517616074.0455
3 1.8090 1274440330.2310 3130923015.9765
4 2.7136 1087790255.5829 2785088223.6776
5 3.6181 927206041.6870 2475970735.7915
6 4.5226 789223784.3898 2199831247.2970
7 5.4271 670816650.2435 1953294916.2972
8 6.3317 569342638.1610 1733317449.7537
9 7.2362 482498239.6062 1537154193.7982
10 8.1407 408277369.8813 1362331975.9683
11 9.0452 344935005.7467 1206623466.8106
12 9.9497 290955021.4301 1068023846.8830
13 10.8543 245021766.5427 944729582.3808
14 11.7588 205994976.0184 835119128.4953
15 12.6633 172887644.3256 737735394.2984
16 13.5678 144846534.2962 651269816.4987
17 14.4724 121135025.3139 574547901.9339
18 15.3769 101118036.6478 506516110.2084
19 16.2814 84248789.7093 446229958.5408
20 17.1859 70057198.2320 392843240.7008
21 18.0905 58139698.0755 345598260.9688
22 18.9950 48150348.7759 303816992.3827
23 19.8995 39793057.3184 266893076.2154
24 20.8040 32814791.0833 234284586.6845
25 21.7085 26999661.6998 205507491.3950
26 22.6131 22163774.7888 180129743.9888
27 23.5176 18150752.4406 157765950.9624
28 24.4221 14827845.8826 138072559.6576
29 25.3266 12082565.2779 120743519.0591
30 26.2312 9819762.0607 105506369.2803
31 27.1357 7959106.7674 92118719.5142
32 28.0402 6432912.0506 80365077.8012
33 28.9447 5184256.5490 70053999.2334
34 29.8492 4165370.6125 61015522.2178
35 30.7538 3336249.6087 53098865.1592
36 31.6583 2663464.7298 46170358.4374
37 32.5628 2119144.9359 40111588.8466
38 33.4673 1680106.9585 34817735.7609
39 34.3719 1327113.1939 30196080.2091
40 35.2764 1044239.8823 26164669.7860
41 36.1809 818340.2316 22651123.9281
42 37.0854 638589.1327 19591565.5314
43 37.9899 496097.8701 16929666.2183
44 38.8945 383588.7638 14615793.7674
45 39.7990 295121.0296 12606251.3186
46 40.7035 225860.3256 10862598.9658
47 41.6080 171885.4823 9351049.2610
48 42.5126 130026.8175 8041928.9755
49 43.4171 97731.2188 6909200.2186
50 44.3216 72949.8629 5930034.6925
51 45.2261 54045.0308 5084435.4796
52 46.1307 39712.9946 4354901.3184
53 47.0352 28920.3949 3726128.8330
54 47.9397 20851.9143 3184748.6351
55 48.8442 14867.3815 2719091.6392
56 49.7487 10466.7280 2318982.3000
57 50.6533 7261.4625 1975555.8262
58 51.5578 4951.5390 1681096.7252
59 52.4623 3306.6738 1428896.3140
60 53.3668 2151.3192 1213127.0772
61 54.2714 1352.6318 1028731.9782
